property_type,price,location,city,baths,bedrooms,Area_in_Marla
Flat,10000000,G-10,Islamabad,2,2,4.0
Flat,6900000,E-11,Islamabad,3,3,5.6
House,16500000,G-15,Islamabad,6,5,8.0
House,43500000,Bani Gala,Islamabad,4,4,40.0
House,7000000,DHA Defence,Islamabad,3,3,8.0
Flat,7800000,E-11,Islamabad,2,2,6.2
Penthouse,40000000,F-11,Islamabad,5,5,20.0
Flat,35000000,Diplomatic Enclave,Islamabad,3,3,7.1
Flat,13500000,DHA Defence,Islamabad,5,3,10.0
Flat,3600000,E-11,Islamabad,1,1,3.1
Flat,5000000,E-11,Islamabad,2,2,4.0
House,19000000,DHA Defence,Islamabad,3,3,10.0
House,26900000,B-17,Islamabad,6,6,20.0
House,4500000,Bhara kahu,Islamabad,3,3,5.0
House,4500000,Garden Town,Islamabad,4,4,4.7
House,6800000,Koral Town,Islamabad,4,4,4.0
House,20000000,Soan Garden,Islamabad,5,6,12.0
Flat,19400000,Blue Area,Islamabad,1,1,4.3
Flat,8000000,G-11,Islamabad,2,2,6.7
Flat,6300000,E-11,Islamabad,3,3,5.3
House,4500000,Ghauri Town,Islamabad,3,2,5.0
House,12500000,I-16,Islamabad,5,6,8.0
House,40000000,Multan Road,Lahore,5,5,20.0
House,21000000,Allama Iqbal Town,Lahore,5,6,11.0
House,16500000,Military Accounts Housing Society,Lahore,7,6,8.0
House,13500000,Eden,Lahore,4,4,7.5
House,23500000,Askari,Lahore,4,4,10.0
House,22500000,Bedian Road,Lahore,4,4,20.0
House,39500000,Gulberg,Lahore,6,6,10.0
House,27500000,Askari,Lahore,5,4,12.0
House,40000000,Chaman Park,Lahore,3,6,11.0
House,3200000,Chungi Amar Sadhu,Lahore,2,3,3.0
House,21200000,Askari,Lahore,4,3,10.0
House,23000000,Askari,Lahore,5,4,10.0
House,21500000,Askari,Lahore,5,4,10.0
House,21500000,Askari,Lahore,5,4,10.0
House,40000000,Askari,Lahore,6,5,20.0
House,26000000,Askari,Lahore,5,4,10.0
House,21000000,Askari,Lahore,4,4,10.0
House,23000000,Askari,Lahore,5,4,10.0
House,23000000,Askari,Lahore,6,5,10.0
House,5500000,Karim Park,Lahore,3,3,2.5
House,12000000,Cantt,Lahore,6,6,8.0
House,12000000,Al-Raheem Garden,Lahore,5,5,6.0
House,40000000,EME Society,Lahore,7,6,20.0
House,17000000,Mateen Avenue,Lahore,6,5,9.7
House,17000000,Paragon City,Lahore,5,5,10.0
House,25000000,IEP Engineers Town,Lahore,5,4,18.0
House,8500000,Muslim Town,Faisalabad,5,4,5.0
House,25000000,Millat Town,Faisalabad,6,5,24.0
House,6000000,Raza Abad,Faisalabad,2,4,2.5
House,13500000,Humak,Rawalpindi,4,5,7.0
House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,6,10.0
House,9990000,Gulshan Abad,Rawalpindi,2,3,10.0
House,22500000,Media Town,Rawalpindi,5,5,12.0
House,9000000,Bahria Town Rawalpindi,Rawalpindi,4,3,5.0
House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,5,12.0
House,39500000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,21000000,Bahria Town Rawalpindi,Rawalpindi,7,5,10.0
House,37000000,Bahria Town Rawalpindi,Rawalpindi,5,5,20.0
House,37000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,37500000,Bahria Town Rawalpindi,Rawalpindi,7,5,20.0
Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,1,1,3.8
House,35000000,Bahria Town Rawalpindi,Rawalpindi,5,5,20.0
Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,4,4,10.0
Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,2,2,5.5
House,12800000,Bahria Town Rawalpindi,Rawalpindi,4,4,7.0
House,5000000,Chakri Road,Rawalpindi,5,6,5.0
House,22000000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,38000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,18000000,Askari 14,Rawalpindi,4,4,10.0
House,25000000,Askari 13,Rawalpindi,5,4,10.0
House,30000000,Askari 12,Rawalpindi,6,4,10.0
House,23000000,Askari 13,Rawalpindi,5,4,10.0
House,32000000,Askari 14,Rawalpindi,5,5,22.0
House,25000000,Askari 13,Rawalpindi,6,5,10.0
House,6000000,Bahria Town Rawalpindi,Rawalpindi,2,2,5.0
House,28000000,Askari 10,Rawalpindi,5,5,10.0
House,5300000,Gulshan-e-Iqbal,Rawalpindi,3,2,5.0
House,19900000,Shalley Valley,Rawalpindi,6,6,10.0
House,15000000,Askari 13,Rawalpindi,4,3,5.0
House,18000000,Askari 14,Rawalpindi,5,4,10.0
House,24500000,Askari 13,Rawalpindi,5,4,10.0
House,27000000,Askari 13,Rawalpindi,4,4,10.0
House,18000000,Askari 13,Rawalpindi,3,3,5.0
Flat,21000000,DHA Defence,Karachi,3,3,8.9
House,6500000,Malir,Karachi,1,2,3.2
House,13000000,Gadap Town,Karachi,4,4,9.6
House,32000000,DHA Defence,Karachi,4,4,4.0
Flat,16500000,Gulshan-e-Iqbal Town,Karachi,4,4,9.8
House,12800000,Scheme 33,Karachi,6,5,9.6
Flat,30000000,Cantt,Karachi,3,3,10.2
Flat,34000000,Cantt,Karachi,4,3,11.4
House,17000000,Gulshan-e-Iqbal Town,Karachi,5,4,4.8
Flat,12500000,Gulshan-e-Iqbal Town,Karachi,3,3,7.6
Flat,4100000,Abul Hassan Isphani Road,Karachi,2,2,3.2
Flat,28000000,Cantt,Karachi,3,3,11.4
Flat,32500000,Cantt,Karachi,3,3,11.4
Flat,40000000,Cantt,Karachi,4,4,13.2
House,19000000,Shahra-e-Faisal,Karachi,4,4,9.6
Flat,7550000,Gizri,Karachi,2,2,5.2
Flat,4500000,Saddar Town,Karachi,1,2,1.3
Flat,6900000,Scheme 33,Karachi,3,4,6.1
Flat,4500000,Gulistan-e-Jauhar,Karachi,2,2,4.8
House,20000000,Gulshan-e-Iqbal Town,Karachi,3,2,4.8
Flat,35000000,DHA Defence,Karachi,3,2,9.1
Flat,25000000,DHA Defence,Karachi,1,1,6.0
House,38800000,Emaar Canyon Views,Islamabad,4,5,30.0
Flat,15500000,DHA Defence,Islamabad,4,4,12.0
Flat,3200000,F-17,Islamabad,2,2,3.7
House,14000000,F-17,Islamabad,6,4,7.0
Flat,3965000,I-12,Islamabad,2,2,4.2
Flat,7800000,F-10,Islamabad,2,2,5.8
House,30000000,Bahria Town,Islamabad,7,6,10.0
House,21000000,Bahria Town,Islamabad,6,5,10.0
Flat,8000000,Bahria Town,Islamabad,2,2,6.1
House,17600000,Bahria Town,Lahore,6,5,10.0
House,17500000,Bahria Town,Lahore,6,5,10.0
